SUBJECT(1:35); TRIAL(1:89); SETSIZE(0:1000); SERPOS(0:1000); TRTYPE(0:1000); REP(0:1000); ANSAC(0:2); ANSSE(0:1000); ANSRT(0:32767); RECALLAC(0:2); RECALLRT(0:32767); HAND(0:1000)
20 82 3 1 1 1 1 1 717 1 2830 1
20 83 5 1 1 1 1 1 766 1 2051 1
20 84 6 6 2 2 1 2 1306 0 3867 1
20 85 5 1 1 2 1 1 996 1 2249 1
20 86 6 2 1 1 1 1 1040 1 3749 1
20 87 2 2 2 2 1 2 1184 1 1309 1
20 88 2 1 1 2 1 1 771 1 1356 1
8 1 3 2 1 2 1 1 1119 1 4583 1
8 2 1 1 2 1 1 2 2011 1 14317 1
8 3 5 4 1 2 1 1 1579 1 3305 1
8 4 4 3 2 1 1 2 1390 1 3452 1
8 5 4 2 2 1 1 2 1135 1 2185 1
8 6 3 1 1 2 1 1 1216 1 2224 1
8 7 3 2 2 1 1 2 721 1 1639 1
8 8 6 6 1 1 1 1 1121 0 3295 1
8 9 6 4 2 1 1 2 1018 0 9989 1
8 10 1 1 2 2 1 2 741 1 1047 1
8 11 3 3 1 1 1 1 814 1 1541 1
8 12 5 4 1 1 1 1 1096 1 4085 1
8 13 5 2 2 1 1 2 688 1 5480 1
8 14 6 3 2 2 1 2 1584 0 3311 1
8 15 4 4 2 1 1 2 565 0 1441 1
8 16 1 1 1 2 1 1 560 1 948 1
8 17 6 4 2 2 1 2 1399 0 4817 1
8 18 6 5 1 1 1 1 847 0 4121 1
8 19 5 5 1 2 1 1 620 1 1825 1
8 20 1 1 1 1 0 2 8730 0 4164 1
8 21 3 1 1 1 1 1 852 1 1550 1
8 22 5 1 2 2 1 2 681 1 2538 1
8 23 6 6 2 1 1 2 758 0 3592 1
8 24 4 3 2 1 1 2 1059 1 1877 1
8 25 2 1 1 2 1 1 687 1 1345 1
8 26 2 1 2 2 1 2 506 1 1270 1
8 27 6 6 1 2 1 1 897 1 3735 1
8 28 4 3 2 2 1 2 696 1 2151 1
8 29 6 5 2 1 1 2 672 0 3178 1
8 30 6 5 2 2 1 2 721 1 4190 1
8 31 6 4 1 2 1 1 765 1 2721 1
8 32 4 2 2 2 1 2 708 1 1717 1
8 33 1 1 2 1 1 2 605 1 1131 1
8 34 5 1 2 1 1 2 865 1 3140 1
8 35 3 2 2 2 1 2 486 1 1314 1
8 36 6 1 1 1 1 1 678 1 2689 1
8 37 4 3 1 1 1 1 979 1 1809 1
8 38 5 3 2 1 1 2 642 1 2361 1
8 39 5 5 2 2 1 2 553 1 1648 1
8 40 4 1 1 1 1 1 570 1 1769 1
8 41 3 1 2 2 1 2 580 1 1714 1
8 42 4 3 1 2 1 1 1058 1 1908 1
8 43 6 5 1 2 1 1 715 1 2349 1
8 44 4 4 1 1 1 1 703 1 3023 1
8 45 3 3 2 2 1 2 669 1 1308 1
8 46 4 2 1 2 1 1 768 1 1781 1
8 47 6 1 1 2 1 1 2302 0 2880 1
8 48 2 1 2 1 1 2 733 1 1122 1
8 49 3 3 2 1 1 2 674 1 1486 1
8 50 5 3 1 1 1 1 726 1 1938 1
8 51 4 1 2 1 1 2 653 1 1961 1
8 52 2 2 2 2 1 2 555 1 1186 1
8 53 4 4 1 2 1 1 1111 1 1509 1
8 54 6 1 2 2 1 2 893 0 3279 1
8 55 6 2 1 2 1 1 1264 1 2827 1
8 56 3 3 1 2 1 1 695 1 1309 1
8 57 6 2 2 1 1 2 1352 1 4400 1
8 58 2 1 1 1 1 1 553 1 1094 1
8 59 5 5 2 1 1 2 597 1 2284 1
8 60 6 3 1 1 1 1 1128 0 4345 1
8 61 3 2 1 1 1 1 669 1 1312 1
8 62 6 2 2 2 1 2 672 1 2140 1
8 63 5 4 1 2 0 2 648 1 4866 1
8 64 5 2 1 2 1 1 1090 0 2836 1
8 65 4 2 1 1 1 1 480 1 1598 1
8 66 5 1 1 2 1 1 683 1 2496 1
8 67 5 3 1 2 1 1 777 1 2188 1
8 68 6 2 1 1 0 2 1132 0 5769 1
8 69 3 2 1 2 1 1 806 1 1487 1
8 70 3 1 2 1 1 2 628 1 1267 1
8 71 6 3 1 2 1 1 720 1 3626 1
8 72 6 4 1 1 1 1 879 1 2284 1
8 73 2 2 1 1 1 1 552 1 1048 1
8 74 5 3 2 2 1 2 642 1 1624 1
8 75 2 2 1 2 1 1 647 1 1043 1
8 76 4 1 1 2 1 1 611 1 1555 1
8 77 5 2 2 2 1 2 735 1 1765 1
8 78 6 6 2 2 1 2 1210 1 2467 1
8 79 6 1 2 1 1 2 1440 1 3342 1
8 80 5 1 1 1 0 2 1640 1 5671 1
8 81 4 1 2 2 1 2 652 1 1734 1
8 82 5 2 1 1 0 2 642 1 3268 1
8 83 5 4 2 2 1 2 1001 0 3680 1
8 84 5 4 2 1 1 2 625 1 2044 1
8 85 4 4 2 2 1 2 569 1 2267 1
8 86 5 5 1 1 1 1 733 1 2265 1
8 87 6 3 2 1 1 2 545 1 2458 1
8 88 2 2 2 1 1 2 453 1 1049 1
26 1 3 2 1 2 1 1 813 1 1340 1
26 2 1 1 2 1 1 2 616 1 901 1
26 3 5 4 1 2 1 1 825 1 2237 1
26 4 4 3 2 1 1 2 608 1 1462 1
26 5 4 1 2 1 1 2 477 1 2455 1
26 6 2 1 2 1 1 2 455 0 1182 1
26 7 3 1 2 2 1 2 847 1 2138 1
26 8 5 2 2 2 1 2 458 1 2452 1
26 9 6 5 1 2 1 1 894 0 2947 1
26 10 6 6 1 1 1 1 1034 0 3987 1
26 11 6 2 1 2 0 2 900 0 4947 1
26 12 4 3 2 2 1 2 707 1 1790 1
26 13 6 1 2 2 1 2 495 1 3114 1
26 14 6 1 1 2 0 2 949 1 3551 1
26 15 5 1 2 2 1 2 639 1 2145 1
26 16 4 4 2 2 1 2 752 1 1978 1
26 17 3 1 2 1 1 2 448 1 1319 1
26 18 6 3 2 1 1 2 674 1 3500 1
26 19 6 6 2 1 1 2 811 0 8858 1
26 20 1 1 1 1 1 1 571 1 990 1
26 21 3 2 2 1 1 2 538 1 1188 1
26 22 3 2 1 2 1 1 479 1 1428 1
26 23 6 4 1 2 1 1 770 1 2748 1
26 24 4 1 1 2 1 1 654 1 1569 1
26 25 2 1 2 2 1 2 459 1 1088 1
26 26 5 1 2 1 1 2 502 1 1896 1
26 27 5 5 1 2 1 1 492 1 2779 1
26 28 4 3 1 2 1 1 718 1 1867 1
